aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium
1.65,9.08,0.04,2.85,0.01,0.35,0.83,0.17,0.05,0.20,0.00,0.05,16.08,1.13,0.01,37.75,6.78,0.08,0.34,0.02
1.01,14.02,0.04,0.58,0.01,4.24,0.53,0.02,0.99,0.05,0.00,0.08,14.16,1.11,0.01,50.28,7.07,0.07,0.44,0.01
2.32,21.16,0.01,3.31,0.00,5.28,0.68,0.66,0.90,0.65,0.65,0.10,2.01,1.93,0.00,32.26,3.21,0.08,0.27,0.05
2.36,5.60,0.01,1.35,0.00,1.28,0.62,1.88,0.33,0.13,0.01,0.02,18.60,1.78,0.01,45.34,2.84,0.10,0.24,0.08
1.36,11.33,0.04,2.96,0.00,7.23,0.03,1.66,1.08,0.71,0.71,0.02,1.41,1.29,0.00,9.12,1.72,0.02,0.45,0.05
3.93,19.87,0.04,0.66,0.00,6.22,0.10,1.86,0.86,0.16,0.01,0.20,13.65,1.81,0.00,53.35,7.24,0.08,0.08,0.07
0.92,24.33,0.03,0.20,0.01,2.67,0.69,0.57,0.61,0.13,0.00,0.12,6.74,1.11,0.00,16.90,2.41,0.02,0.06,0.02
3.27,3.60,0.00,2.69,0.01,5.75,0.15,0.60,1.29,0.04,0.01,0.15,8.47,1.25,0.01,55.40,7.80,0.05,0.33,0.06
0.94,14.47,0.03,2.88,0.00,0.80,0.43,1.38,0.11,0.67,0.67,0.14,9.75,1.89,0.01,27.17,5.42,0.08,0.19,0.02
4.88,26.94,0.02,0.36,0.00,1.21,0.68,0.71,0.99,0.75,0.75,0.07,0.31,1.22,0.00,56.70,1.00,0.00,0.41,0.05
0.60,24.58,0.01,0.71,0.01,3.14,0.77,1.45,0.98,0.35,0.00,0.17,14.66,1.84,0.00,23.43,4.99,0.08,0.25,0.08
4.32,20.64,0.03,2.60,0.01,7.24,0.61,1.23,1.44,0.56,0.56,0.01,9.42,1.74,0.00,36.23,3.22,0.07,0.18,0.08
0.22,16.76,0.02,1.37,0.01,6.40,0.49,0.82,1.24,0.83,0.83,0.11,4.79,1.46,0.01,30.42,0.08,0.03,0.31,0.01
2.36,27.05,0.01,0.68,0.00,4.07,0.13,1.34,0.29,0.96,0.96,0.17,15.05,1.92,0.00,56.32,7.99,0.06,0.50,0.06
1.35,21.96,0.04,0.84,0.00,0.10,0.76,0.17,0.58,0.52,0.52,0.01,18.40,1.49,0.01,21.52,1.30,0.08,0.48,0.08
3.42,2.40,0.00,2.80,0.00,2.87,0.73,0.27,0.53,0.44,0.00,0.11,13.73,1.69,0.01,55.27,3.29,0.04,0.17,0.00
1.88,19.26,0.02,2.78,0.01,0.05,0.42,1.00,0.09,0.91,0.91,0.10,4.37,1.95,0.01,22.12,1.97,0.03,0.06,0.05
4.57,25.84,0.01,3.04,0.00,2.78,0.72,0.46,1.41,0.08,0.01,0.05,9.64,1.43,0.01,36.57,4.55,0.03,0.19,0.00
4.93,23.98,0.04,3.05,0.01,0.70,0.51,1.35,1.07,0.70,0.70,0.10,1.16,1.11,0.01,26.80,5.58,0.09,0.38,0.03
1.63,15.75,0.03,2.54,0.01,4.25,0.74,1.35,1.24,0.12,0.01,0.19,17.29,1.27,0.00,58.15,1.71,0.09,0.44,0.05
2.89,18.82,0.05,3.77,0.01,5.99,0.54,0.79,0.54,0.20,0.01,0.13,17.56,1.82,0.01,17.54,4.33,0.10,0.05,0.02
0.01,29.29,0.00,2.93,0.01,7.75,0.68,1.09,0.00,0.80,0.80,0.09,17.33,1.86,0.00,43.09,3.76,0.09,0.30,0.00
0.61,2.41,0.03,0.59,0.00,1.94,0.77,1.54,0.62,0.23,0.00,0.02,1.99,1.08,0.01,11.16,0.98,0.01,0.47,0.03
2.51,13.08,0.04,1.58,0.00,2.86,0.87,1.88,0.40,0.13,0.00,0.09,11.96,1.35,0.01,46.30,4.70,0.10,0.04,0.05
3.47,15.84,0.02,0.06,0.00,5.29,0.47,1.08,1.43,0.89,0.89,0.08,1.91,1.20,0.01,0.18,6.89,0.06,0.12,0.08
2.34,19.90,0.03,2.67,0.01,4.30,0.26,0.08,0.34,0.26,0.00,0.15,7.96,1.56,0.01,51.39,2.41,0.09,0.12,0.05
2.11,17.03,0.02,0.88,0.01,7.78,0.88,1.15,0.34,0.85,0.85,0.07,17.86,1.53,0.00,19.40,1.14,0.10,0.40,0.01
1.71,9.49,0.05,3.63,0.01,2.24,0.90,0.22,0.68,0.63,0.63,0.16,11.40,1.83,0.01,42.64,6.14,0.09,0.44,0.06
4.12,17.99,0.02,3.43,0.01,0.01,0.41,1.82,0.22,0.99,0.99,0.11,8.06,1.76,0.01,24.29,0.88,0.10,0.10,0.07
3.45,22.32,0.01,0.55,0.00,2.40,0.36,0.29,0.51,0.86,0.86,0.05,1.79,1.68,0.01,43.51,5.45,0.07,0.04,0.07
0.68,18.99,0.00,0.04,0.01,4.57,0.20,1.18,1.00,0.92,0.92,0.09,9.46,1.41,0.01,21.79,3.05,0.03,0.13,0.08
